ID,Country,Name,Longitude,Latitude,Designation,Legal/Formal Instrument,Designation Type,Date Established,Domain,Status,Reported Area_ha,Reported Marine Area_ha,Management Plan,IUCN Management Categories,International Convention,State/Province/District,Management Effectiveness Model,Management Effectiveness Rating,Zonation,No Take,Reported No Take Area (ha),Source
4028400,Philippines,San Miguel Island Marine Fishery Reserve,123.772333,13.410167,Marine Fishery Reserve - Local,,Local,1/1/1998,Marine,Designated,203.2,0,Yes,Unknown,No,Albay,MEAT,Established,Unknown,Unknown,0,CCEF
4054400,Philippines,San Pedro Fish Sanctuary,125.201355,10.412624,Fish Sanctuary - Local,,Local,1/1/2000,Marine,Designated,47,0,Yes,Unknown,No,Southern Leyte,MEAT,Strenghtened,Unknown,All,47,CCEF
4025200,Philippines,San Pedro Marine Protected Area,125.993056,9.346667,Marine Protected Area - Local,,Local,1/1/2005,Marine,Designated,48,0,Yes,Unknown,No,Surigao Del Sur,MEAT,Established,Unknown,Unknown,0,CCEF
4061900,Philippines,San Roque Marine Sanctuary,121.98383,11.73543,Marine Sanctuary - Local,,Local,1/1/1999,Marine,Designated,0,0,Unknown,Unknown,No,Antique,Unknown,Unknown,Unknown,All,0,MSN-MSI
4022300,Philippines,San Salvador Marine Sanctuary and Reservation Area,119.903611,15.53,Marine Sanctuary and Reservation Area,,Local,1/1/1989,Marine,Designated,127,0,Yes,VI,No,Zambales,MEAT,Strenghtened,Unknown,All,127,CCEF
4033800,Philippines,Sandugan Marine Sanctuary,123.593735,9.286643,Marine Sanctuary - Local,,Local,1/1/2003,Marine,Designated,13.38,0,Yes,VI,No,Siquijor,MEAT,Sustained,Unknown,All,13.38,CCEF
4029500,Philippines,Sangat Island Marine Protected Area,120.06273,11.967886,Marine Protected Area - Local,,Local,1/1/2004,Marine,Designated,0,0,Unknown,Unknown,No,Palawan,Unknown,Unknown,Unknown,Unknown,0,CCEF
4054500,Philippines,Sarangani Bay Protected Seascape,124.379167,5.556944,Protected Seascape - NIPAS,,National,1/1/1996,Marine,Designated,215950,0,Unknown,Unknown,Unknown,Saranggani,Unknown,Unknown,Unknown,Unknown,0,CCEF
4054600,Philippines,Sawang Marine Sanctuary,123.49929,8.646926,Marine Sanctuary - Local,,Local,1/1/2005,Marine,Designated,11.34,0,Draft,Unknown,No,Zamboanga Norte,MEAT,Established,Unknown,All,11.34,CCEF
4054700,Philippines,Sawang/Olo-Olo Fish Sanctuary,121.224883,13.625809,Fish Sanctuary - Local,,Local,1/1/2001,Marine,Designated,9,0,Draft,Unknown,No,Batangas,MEAT,Established,Unknown,All,9,MSN-MSI
